x coord,y coord,z coord,rho,u,v,w
0.950000,0.116667,0.000000,0.998142,-0.000110,0.000847,0.000000
0.983333,0.116667,0.000000,0.997910,0.000051,0.000388,0.000000
0.016667,0.150000,0.000000,0.998152,-0.000070,0.000263,0.000000
0.050000,0.150000,0.000000,0.997837,-0.000598,0.001120,0.000000
0.083333,0.150000,0.000000,0.998098,-0.002055,0.001518,0.000000
0.116667,0.150000,0.000000,0.997861,-0.003748,0.003374,0.000000
0.150000,0.150000,0.000000,0.998011,-0.006630,0.005432,0.000000
0.183333,0.150000,0.000000,0.997849,-0.009965,0.007585,0.000000
0.216667,0.150000,0.000000,0.997893,-0.014213,0.009739,0.000000
0.250000,0.150000,0.000000,0.997755,-0.018584,0.011392,0.000000
0.283333,0.150000,0.000000,0.997701,-0.023082,0.012524,0.000000
0.316667,0.150000,0.000000,0.997555,-0.027064,0.012686,0.000000
0.350000,0.150000,0.000000,0.997441,-0.030536,0.012130,0.000000
0.383333,0.150000,0.000000,0.997305,-0.033280,0.010752,0.000000
0.416667,0.150000,0.000000,0.997201,-0.035401,0.008930,0.000000
0.450000,0.150000,0.000000,0.997114,-0.036904,0.006623,0.000000
0.483333,0.150000,0.000000,0.997082,-0.037824,0.004117,0.000000
0.516667,0.150000,0.000000,0.997075,-0.038241,0.001324,0.000000
0.550000,0.150000,0.000000,0.997151,-0.038071,-0.001539,0.000000
0.583333,0.150000,0.000000,0.997223,-0.037437,-0.004580,0.000000
0.616667,0.150000,0.000000,0.997411,-0.036120,-0.007553,0.000000
0.650000,0.150000,0.000000,0.997521,-0.034294,-0.010509,0.000000
0.683333,0.150000,0.000000,0.997780,-0.031582,-0.013060,0.000000
0.716667,0.150000,0.000000,0.997847,-0.028262,-0.015081,0.000000
0.750000,0.150000,0.000000,0.998108,-0.023855,-0.015980,0.000000
0.783333,0.150000,0.000000,0.998039,-0.018931,-0.015423,0.000000
0.816667,0.150000,0.000000,0.998264,-0.013202,-0.013007,0.000000
0.850000,0.150000,0.000000,0.998047,-0.007960,-0.008814,0.000000
0.883333,0.150000,0.000000,0.998285,-0.003510,-0.004324,0.000000
0.916667,0.150000,0.000000,0.997972,-0.001224,-0.000206,0.000000
0.950000,0.150000,0.000000,0.998265,-0.000382,0.000408,0.000000
0.983333,0.150000,0.000000,0.997987,-0.000016,0.000234,0.000000
0.016667,0.183333,0.000000,0.998286,-0.000159,0.000667,0.000000
0.050000,0.183333,0.000000,0.997894,-0.000973,0.002352,0.000000
0.083333,0.183333,0.000000,0.998186,-0.003297,0.003457,0.000000
0.116667,0.183333,0.000000,0.997931,-0.005773,0.006049,0.000000
0.150000,0.183333,0.000000,0.998067,-0.009463,0.008915,0.000000
0.183333,0.183333,0.000000,0.997884,-0.013429,0.011671,0.000000
0.216667,0.183333,0.000000,0.997890,-0.018032,0.014187,0.000000
0.250000,0.183333,0.000000,0.997711,-0.022389,0.015767,0.000000
0.283333,0.183333,0.000000,0.997608,-0.026515,0.016515,0.000000
0.316667,0.183333,0.000000,0.997416,-0.029896,0.016045,0.000000
0.350000,0.183333,0.000000,0.997261,-0.032676,0.014829,0.000000
0.383333,0.183333,0.000000,0.997088,-0.034753,0.012794,0.000000
0.416667,0.183333,0.000000,0.996956,-0.036289,0.010404,0.000000
0.450000,0.183333,0.000000,0.996840,-0.037325,0.007573,0.000000
0.483333,0.183333,0.000000,0.996786,-0.037930,0.004618,0.000000
0.516667,0.183333,0.000000,0.996751,-0.038204,0.001394,0.000000
0.550000,0.183333,0.000000,0.996804,-0.038100,-0.001865,0.000000
0.583333,0.183333,0.000000,0.996848,-0.037752,-0.005337,0.000000
0.616667,0.183333,0.000000,0.997015,-0.036962,-0.008770,0.000000
0.650000,0.183333,0.000000,0.997110,-0.035882,-0.012308,0.000000
0.683333,0.183333,0.000000,0.997371,-0.034100,-0.015548,0.000000
0.716667,0.183333,0.000000,0.997455,-0.031791,-0.018438,0.000000
0.750000,0.183333,0.000000,0.997762,-0.028314,-0.020280,0.000000
0.783333,0.183333,0.000000,0.997748,-0.024008,-0.020647,0.000000
0.816667,0.183333,0.000000,0.998044,-0.018288,-0.018754,0.000000
0.850000,0.183333,0.000000,0.997874,-0.012248,-0.014240,0.000000
0.883333,0.183333,0.000000,0.998159,-0.006248,-0.008342,0.000000
0.916667,0.183333,0.000000,0.997829,-0.002494,-0.002216,0.000000
0.950000,0.183333,0.000000,0.998145,-0.000694,-0.000381,0.000000
0.983333,0.183333,0.000000,0.997816,-0.000093,0.000008,0.000000
0.016667,0.216667,0.000000,0.998294,-0.000247,0.001361,0.000000
0.050000,0.216667,0.000000,0.997830,-0.001337,0.004275,0.000000
0.083333,0.216667,0.000000,0.998144,-0.004473,0.006304,0.000000
0.116667,0.216667,0.000000,0.997873,-0.007565,0.009552,0.000000
0.150000,0.216667,0.000000,0.997977,-0.011785,0.013080,0.000000
0.183333,0.216667,0.000000,0.997768,-0.015991,0.016159,0.000000
0.216667,0.216667,0.000000,0.997713,-0.020517,0.018693,0.000000
0.250000,0.216667,0.000000,0.997495,-0.024470,0.019876,0.000000
0.283333,0.216667,0.000000,0.997326,-0.027963,0.020027,0.000000
0.316667,0.216667,0.000000,0.997099,-0.030616,0.018846,0.000000
0.350000,0.216667,0.000000,0.996899,-0.032666,0.016983,0.000000
0.383333,0.216667,0.000000,0.996710,-0.034075,0.014361,0.000000
0.416667,0.216667,0.000000,0.996554,-0.035032,0.011498,0.000000
0.450000,0.216667,0.000000,0.996439,-0.035609,0.008262,0.000000
0.483333,0.216667,0.000000,0.996373,-0.035895,0.004995,0.000000
0.516667,0.216667,0.000000,0.996344,-0.036006,0.001496,0.000000
0.550000,0.216667,0.000000,0.996388,-0.035915,-0.001990,0.000000
0.583333,0.216667,0.000000,0.996439,-0.035767,-0.005712,0.000000
0.616667,0.216667,0.000000,0.996600,-0.035389,-0.009422,0.000000
0.650000,0.216667,0.000000,0.996710,-0.034949,-0.013364,0.000000
0.683333,0.216667,0.000000,0.996985,-0.034047,-0.017152,0.000000
0.716667,0.216667,0.000000,0.997110,-0.032834,-0.020861,0.000000
0.750000,0.216667,0.000000,0.997473,-0.030576,-0.023769,0.000000
0.783333,0.216667,0.000000,0.997540,-0.027437,-0.025442,0.000000
0.816667,0.216667,0.000000,0.997932,-0.022491,-0.024772,0.000000
0.850000,0.216667,0.000000,0.997842,-0.016472,-0.020841,0.000000
0.883333,0.216667,0.000000,0.998204,-0.009379,-0.014084,0.000000
0.916667,0.216667,0.000000,0.997880,-0.004033,-0.005743,0.000000
0.950000,0.216667,0.000000,0.998211,-0.001047,-0.002004,0.000000
0.983333,0.216667,0.000000,0.997830,-0.000182,-0.000519,0.000000
0.016667,0.250000,0.000000,0.998362,-0.000314,0.002217,0.000000
0.050000,0.250000,0.000000,0.997841,-0.001616,0.006604,0.000000
0.083333,0.250000,0.000000,0.998167,-0.005350,0.009673,0.000000
0.116667,0.250000,0.000000,0.997879,-0.008792,0.013375,0.000000
0.150000,0.250000,0.000000,0.997944,-0.013188,0.017338,0.000000
0.183333,0.250000,0.000000,0.997701,-0.017271,0.020413,0.000000
0.216667,0.250000,0.000000,0.997586,-0.021379,0.022666,0.000000
0.250000,0.250000,0.000000,0.997319,-0.024691,0.023217,0.000000
0.283333,0.250000,0.000000,0.997098,-0.027414,0.022661,0.000000
0.316667,0.250000,0.000000,0.996834,-0.029287,0.020750,0.000000
0.350000,0.250000,0.000000,0.996606,-0.030596,0.018289,0.000000
0.383333,0.250000,0.000000,0.996398,-0.031351,0.015161,0.000000
0.416667,0.250000,0.000000,0.996232,-0.031760,0.011940,0.000000
0.450000,0.250000,0.000000,0.996105,-0.031913,0.008438,0.000000
0.483333,0.250000,0.000000,0.996031,-0.031903,0.005018,0.000000
0.516667,0.250000,0.000000,0.995988,-0.031841,0.001418,0.000000
0.550000,0.250000,0.000000,0.996018,-0.031703,-0.002101,0.000000
0.583333,0.250000,0.000000,0.996050,-0.031634,-0.005858,0.000000
0.616667,0.250000,0.000000,0.996192,-0.031491,-0.009588,0.000000
0.650000,0.250000,0.000000,0.996282,-0.031468,-0.013647,0.000000
0.683333,0.250000,0.000000,0.996544,-0.031228,-0.017668,0.000000
0.716667,0.250000,0.000000,0.996666,-0.030962,-0.021908,0.000000
0.750000,0.250000,0.000000,0.997051,-0.029944,-0.025690,0.000000
0.783333,0.250000,0.000000,0.997156,-0.028271,-0.028734,0.000000
0.816667,0.250000,0.000000,0.997627,-0.024749,-0.029734,0.000000
0.850000,0.250000,0.000000,0.997606,-0.019717,-0.027349,0.000000
0.883333,0.250000,0.000000,0.998064,-0.012488,-0.020796,0.000000
0.916667,0.250000,0.000000,0.997769,-0.005821,-0.010540,0.000000
0.950000,0.250000,0.000000,0.998117,-0.001453,-0.004252,0.000000
0.983333,0.250000,0.000000,0.997671,-0.000283,-0.001189,0.000000
0.016667,0.283333,0.000000,0.998299,-0.000352,0.003249,0.000000
0.050000,0.283333,0.000000,0.997759,-0.001759,0.009335,0.000000
0.083333,0.283333,0.000000,0.998070,-0.005825,0.013466,0.000000
0.116667,0.283333,0.000000,0.997780,-0.009361,0.017402,0.000000
0.150000,0.283333,0.000000,0.997790,-0.013653,0.021553,0.000000
0.183333,0.283333,0.000000,0.997525,-0.017382,0.024356,0.000000
0.216667,0.283333,0.000000,0.997342,-0.020921,0.026111,0.000000
0.250000,0.283333,0.000000,0.997048,-0.023550,0.025913,0.000000
0.283333,0.283333,0.000000,0.996779,-0.025554,0.024621,0.000000
0.316667,0.283333,0.000000,0.996507,-0.026766,0.022027,0.000000
0.350000,0.283333,0.000000,0.996259,-0.027498,0.019045,0.000000
0.383333,0.283333,0.000000,0.996060,-0.027800,0.015524,0.000000
0.416667,0.283333,0.000000,0.995890,-0.027876,0.012058,0.000000
0.450000,0.283333,0.000000,0.995779,-0.027815,0.008405,0.000000
0.483333,0.283333,0.000000,0.995701,-0.027686,0.004922,0.000000
0.516667,0.283333,0.000000,0.995671,-0.027572,0.001298,0.000000
0.550000,0.283333,0.000000,0.995691,-0.027431,-0.002197,0.000000
0.583333,0.283333,0.000000,0.995728,-0.027391,-0.005921,0.000000
0.616667,0.283333,0.000000,0.995852,-0.027320,-0.009588,0.000000
0.650000,0.283333,0.000000,0.995941,-0.027437,-0.013622,0.000000
0.683333,0.283333,0.000000,0.996183,-0.027467,-0.017663,0.000000
